"","SUNY at Buffalo  - North Campus","","","","",""
"","Building Utilities Cost & Consumption Report","","","","",""
"","Accounting Period: July 2013 to June 2014","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Building Code","Building Name","Use","Demand","Cost","Cost/Unit","Notes"
"","","","","","",""
"03-ALUMNI-A480","ALUMNI ARENA","391,865 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","May","319522","796.34","28199.512","0.088255306363881",""
"","","","","","",""
"","Jun","300262","649.49","23897.2473","0.0795879841605",""
"","","","","","",""
"","","3689826","","294819.4095","0.079900626614914",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","8213","","4689.87","0.57103007427249","Gas usage down 8% - elec usage up 9%"
"","","","","","",""
"","Aug","422","","231.61","0.54883886255924",""
"","","","","","",""
"","Sep","6050","","3203.56","0.52951404958678",""
"","","","","","",""
"","Oct","13252","","6876.94","0.51893600965892",""
"","","","","","",""
"","Nov","26873","","13321.28","0.49571242511071",""
"","","","","","",""
"","Dec","37976","","20204.71","0.53203891931746",""
"","","","","","",""
"","Jan","50414","","28477.29","0.56486868726941",""
"","","","","","",""
"","Feb","46198","","28289.5","0.61235334862981",""
"","","","","","",""
"","Mar","39175","","22820.42","0.58252507977026",""
"","","","","","",""
"","Apr","19247","","11948.81","0.62081415285499",""
"","","","","","",""
"","May","13256","","8262.81","0.62332604103802",""
"","","","","","",""
"","Jun","7777","","4988.56","0.64145043075736",""
"","","","","","",""
"","","268853","","153315.36","0.57025720375075",""
"Buidling Total Cost","Buidling Total Cost","","","448134.7695","",""
"","","","","","",""
"03-CFT-A125","CENTER FOR TOMORROW","17,420 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","37880","152.01","2833.3881","0.074799052270327",""
"","","","","","",""
"","Aug","34959","138.27","2125.0097","0.060785769043737",""
"","","","","","",""
"","Sep","43085","166.59","2797.6185","0.06493254032726",""
"","","","","","",""
"","Oct","27241","125.83","1636.8079","0.06008618993429",""
"","","","","","",""
"","Nov","30457","0","2169.2296","0.071222694290311",""
"","","","","","",""
"","Dec","52911","162.89","3589.2057","0.067834773487555",""
"","","","","","",""
"","Jan","46624","135.76","5762.0351","0.12358517287234",""
"","","","","","",""
"","Feb","40085","159.13","3782.0632","0.094351083946613",""
"","","","","","",""
"","Mar","39251","139.47","3663.253","0.09332890881761",""
"","","","","","",""
"","Apr","30366","155.43","2260.6787","0.074447694790226",""
"","","","","","",""
"","May","42227","145.07","3726.7568","0.08825530584697",""
"","","","","","",""
"","Jun","38821","148.32","3089.6851","0.079587983308003",""
"","","","","","",""
"","","463907","","37435.7314","0.080696629712421",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","0","","0","0",""
"","","","","","",""
"","Aug","0","","0","0",""
"","","","","","",""
"","Sep","0","","0","0",""
"","","","","","",""
"","Oct","0","","0","0",""
"","","","","","",""
"","Nov","189","","93.6896","0.49571216931217",""
"","","","","","",""
"","Dec","43","","22.8777","0.53203953488372",""
"","","","","","",""
"","Jan","566","","319.7157","0.56486872791519",""
"","","","","","",""
"","Feb","606","","371.0861","0.61235330033003",""
"","","","","","",""
"","Mar","450","","262.1362","0.58252488888889",""
"","","","","","",""
"","Apr","138","","85.6723","0.62081376811594",""
"","","","","","",""
"","May","35","","21.8164","0.62332571428571",""
"","","","","","",""
"","Jun","0","","0","0",""
"","","","","","",""
"","","2027","","1176.994","0.58065811544154",""
"Buidling Total Cost","Buidling Total Cost","","","38612.7254","",""
"","","","","","",""
"03-CHILD-A650","North Child Care","15,572 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","18025","71.22","1348.2529","0.074799051317614",""
"","","","","","",""
"","Aug","15126","61.13","919.4455","0.060785766230332",""
"","","","","","",""
"","Sep","13068","67.16","848.5384","0.064932537496174",""
"","","","","","",""
"","Oct","14211","56.11","853.8849","0.06008619379354",""
"","","","","","",""
"","Nov","16175","47.81","1152.0271","0.071222695517774",""
"","","","","","",""
"","Dec","19502","52.67","1322.9138","0.067834775920418",""
"","","","","","",""
"","Jan","21270","52.35","2628.6566","0.1235851716032",""
"","","","","","",""
"","Feb","18505","51.47","1745.9668","0.094351083490948",""
"","","","","","",""
"","Mar","18543","50.28","1730.598","0.093328911179421",""
"","","","","","",""
"","Apr","14240","53.89","1060.1352","0.074447696629213",""
"","","","","","",""
"","May","12419","53.73","1096.0426","0.088255302359288",""
"","","","","","",""
"","Jun","13261","68.87","1055.4163","0.079587987331272",""
"","","","","","",""
"","","194345","","15761.8781","0.081102565540662",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","58","","33.1197","0.57102931034483",""
"","","","","","",""
"","Aug","52","","28.54","0.54884615384615",""
"","","","","","",""
"","Sep","119","","63.0122","0.52951428571429",""
"","","","","","",""
"","Oct","180","","93.4084","0.51893555555556",""
"","","","","","",""
"","Nov","341","","169.0379","0.49571231671554",""
"","","","","","",""
"","Dec","600","","319.2233","0.53203883333333",""
"","","","","","",""
"","Jan","708","","399.927","0.5648686440678",""
"","","","","","",""
"","Feb","701","","429.2597","0.61235335235378",""
"","","","","","",""
"","Mar","672","","391.4568","0.582525",""
"","","","","","",""
"","Apr","323","","200.5229","0.62081393188854",""
"","","","","","",""
"","May","130","","81.0324","0.62332615384615",""
"","","","","","",""
"","Jun","62","","39.7699","0.64145",""
"","","","","","",""
"","","3946","","2248.3102","0.56976943740497",""
"Buidling Total Cost","Buidling Total Cost","","","18010.1883","",""
"","","","","","",""
"03-CLEMEN-A240","CLEMENS HALL","117,414 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","84785","199.12","6341.8376","0.074799051719054","12-13: electric usage  began increasing  13-14: very  cold winter"
"","","","","","",""
"","Aug","88053","183.97","5352.3693","0.060785768798337",""
"","","","","","",""
"","Sep","99543","350.45","6463.5798","0.064932539706459",""
"","","","","","",""
"","Oct","128317","475.11","7710.0797","0.060086190450213",""
"","","","","","",""
"","Nov","194732","670.63","13869.3375","0.07122269323994",""
"","","","","","",""
"","Dec","254365","713.86","17254.7923","0.067834774045171",""
"","","","","","",""
"","Jan","323082","752.34","39928.145","0.12358517342347",""
"","","","","","",""
"","Feb","262657","754.12","24781.9726","0.094351083732777",""
"","","","","","",""
"","Mar","246496","665.13","23005.203","0.093328910002596",""
"","","","","","",""
"","Apr","148647","476.48","11066.4266","0.074447695547169",""
"","","","","","",""
"","May","105166","362.61","9281.4575","0.088255305897343",""
"","","","","","",""
"","Jun","82115","178.33","6535.3673","0.079587983924983",""
"","","","","","",""
"","","2017958","","171590.5682","0.085031783714032",""
"Buidling Total Cost","Buidling Total Cost","","","171590.5682","",""
"","","","","","",""
"03-CNG-NA","Compressed Natural Gas - Pumps","","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","1632","67.45","122.0721","0.074799080882353","Serves ele to CNG pumps- 2010:big drop in outside CNG users, switched to conventional fueled vehicles ."
"","","","","","",""
"","Aug","1619","68.24","98.4122","0.060785793699815",""
"","","","","","",""
"","Sep","1748","67.73","113.5021","0.064932551487414",""
"","","","","","",""
"","Oct","1954","67.38","117.4084","0.060086182190379",""
"","","","","","",""
"","Nov","2227","68.67","158.6129","0.071222676246071",""
"","","","","","",""
"","Dec","2437","68.16","165.3133","0.067834755847353",""
"","","","","","",""
"","Jan","2578","68.87","318.6026","0.12358518231187",""
"","","","","","",""
"","Feb","2299","69.07","216.9131","0.094351065680731",""
"","","","","","",""
"","Mar","2489","67.62","232.2957","0.093328927280032",""
"","","","","","",""
"","Apr","2118","68.93","157.6802","0.074447686496695",""
"","","","","","",""
"","May","1722","67.44","151.9756","0.088255284552846",""
"","","","","","",""
"","Jun","1765","67.53","140.4728","0.079587988668555",""
"","","","","","",""
"","","24588","","1993.261","0.081066414511144",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","1130","","645.264","0.57103008849558","Per H Patton NFG to J Hayes: 9/10 - 4/12 usage too low due to faulty meter reads, replaced 5/12.  2012: drop in usage  WNY DDSO big user switched to conventional fueled vehicles - big drop in outside CNG users."
"","","","","","",""
"","Aug","1260","","691.5454","0.54884555555556",""
"","","","","","",""
"","Sep","1310","","693.6639","0.52951442748092",""
"","","","","","",""
"","Oct","1260","","653.859","0.51893571428571",""
"","","","","","",""
"","Nov","1790","","887.3251","0.49571234636872",""
"","","","","","",""
"","Dec","1760","","936.3884","0.53203886363636",""
"","","","","","",""
"","Jan","1950","","1101.4939","0.56486866666667",""
"","","","","","",""
"","Feb","1580","","967.5183","0.61235335443038",""
"","","","","","",""
"","Mar","1950","","1135.9237","0.58252497435897",""
"","","","","","",""
"","Apr","1550","","962.2616","0.62081393548387",""
"","","","","","",""
"","May","1300","","810.3238","0.623326",""
"","","","","","",""
"","Jun","1290","","827.4709","0.64145031007752",""
"","","","","","",""
"","","18130","","10313.038","0.56883827909542",""
"Buidling Total Cost","Buidling Total Cost","","","12306.299","",""
"","","","","","",""
"03-COMPUT-A510","COMPUTER CENTER","41,999 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","36242","79.01","2710.8672","0.07479905082501"," 2011: CCTR  rehabbed, servers moved to Norton Library Annex - Elec decrease"
"","","","","","",""
"","Aug","36466","94.86","2216.6139","0.060785770306587",""
"","","","","","",""
"","Sep","38746","91.87","2515.8762","0.064932540133175",""
"","","","","","",""
"","Oct","43690","106.53","2625.1657","0.060086191348135",""
"","","","","","",""
"","Nov","51623","118.75","3676.7291","0.071222693373109",""
"","","","","","",""
"","Dec","57687","187.65","3913.1846","0.067834773865862",""
"","","","","","",""
"","Jan","78079","194.91","9649.4067","0.12358517270969",""
"","","","","","",""
"","Feb","69886","180.88","6593.8198","0.094351083192628",""
"","","","","","",""
"","Mar","71174","182.13","6642.5919","0.093328910838227",""
"","","","","","",""
"","Apr","52227","170.7","3888.1798","0.074447695636357",""
"","","","","","",""
"","May","45332","136.28","4000.7896","0.088255307509044",""
"","","","","","",""
"","Jun","42484","96.74","3381.2159","0.079587983711515",""
"","","","","","",""
"","","623636","","51814.4404","0.083084428095876",""
"Buidling Total Cost","Buidling Total Cost","","","51814.4404","",""
"","","","","","",""
"03-COOKE-A260&03-HOCH-A280","Cooke &Hochstetter Complex","554,744 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","754359","229.02","56425.3107","0.074799015720632",""
"","","","","","",""
"","Aug","738736.33","256.47","44904.6581","0.060785771968193",""
"","","","","","",""
"","Sep","895629.22","1447.82","58155.4802","0.064932540052679",""
"","","","","","",""
"","Oct","885797.4","1758.67","53224.1913","0.060086190476513",""
"","","","","","",""
"","Nov","1029884.35","2195.27","73351.1371","0.071222693208223",""
"","","","","","",""
"","Dec","1185862.45","2351.35","80442.7117","0.067834774345035",""
"","","","","","",""
"","Jan","1399534.68","2835.14","172961.7361","0.12358517339492",""
"","","","","","",""
"","Feb","1037477.83","3941.92","97887.1577","0.094351083820268",""
"","","","","","",""
"","Mar","1437834.03","3829.53","134191.4827","0.093328909943799",""
"","","","","","",""
"","Apr","916915.68","1947.79","68262.2589","0.074447695015969",""
"","","","","","",""
"","May","819547.47","1579.31","72329.4129","0.08825530618745",""
"","","","","","",""
"","Jun","733177.75","1497.71","58352.139","0.079587983950686",""
"","","","","","",""
"","","11834756.19","","970487.6764","0.082003182897847",""
